Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
69,tt0054215,2013-06-08,2013-06-08,,"Psycho","Psycho",https://www.imdb.com/title/tt0054215/,Movie,8.5,109,1960,"Drama, Horror, Mystery, Thriller",762113,1960-09-08,"Alfred Hitchcock",8,2013-06-08
70,tt1408101,2013-06-11,2013-06-11,,"Star Trek Into Darkness","Star Trek Into Darkness",https://www.imdb.com/title/tt1408101/,Movie,7.7,132,2013,"Action, Adventure, Sci-Fi",505956,2013-05-16,"J.J. Abrams",6,2013-06-11
71,tt0056869,2013-06-11,2013-06-11,,"The Birds","The Birds",https://www.imdb.com/title/tt0056869/,Movie,7.6,119,1963,"Drama, Horror, Mystery, Romance",215277,1963-03-29,"Alfred Hitchcock",9,2013-06-11
72,tt0052357,2013-06-14,2013-06-14,,"Vertigo","Vertigo",https://www.imdb.com/title/tt0052357/,Movie,8.2,128,1958,"Mystery, Romance, Thriller",450140,1958-05-28,"Alfred Hitchcock",7,2013-06-14
73,tt0047396,2013-06-14,2013-06-14,,"Rear Window","Rear Window",https://www.imdb.com/title/tt0047396/,Movie,8.5,112,1954,"Drama, Mystery, Thriller",554011,1954-09-01,"Alfred Hitchcock",8,2013-06-14
74,tt0053125,2013-06-17,2013-06-17,,"North by Northwest","North by Northwest",https://www.imdb.com/title/tt0053125/,Movie,8.3,136,1959,"Adventure, Drama, Mystery, Thriller",363572,1959-12-18,"Alfred Hitchcock",8,2013-06-17
75,tt0049470,2013-06-18,2013-06-18,,"The Man Who Knew Too Much","The Man Who Knew Too Much",https://www.imdb.com/title/tt0049470/,Movie,7.4,120,1956,"Crime, Drama, Mystery, Thriller",74318,1956-06-01,"Alfred Hitchcock",8,2013-06-18
76,tt0068611,2013-06-19,2013-06-19,,"Frenzy","Frenzy",https://www.imdb.com/title/tt0068611/,Movie,7.4,116,1972,"Drama, Thriller",52155,1972-06-21,"Alfred Hitchcock",8,2013-06-19
77,tt0066921,2013-06-23,2013-06-23,,"A Clockwork Orange","A Clockwork Orange",https://www.imdb.com/title/tt0066921/,Movie,8.2,136,1971,"Crime, Sci-Fi",919697,1972-02-02,"Stanley Kubrick",7,2013-06-23
78,tt1605782,2013-06-24,2013-06-24,,"Comic-Con Episode IV: A Fan's Hope","Comic-Con Episode IV: A Fan's Hope",https://www.imdb.com/title/tt1605782/,Movie,7.0,88,2011,"Documentary",2893,2012-11-23,"Morgan Spurlock",6,2013-06-24
79,tt0057012,2013-07-05,2013-07-05,,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",https://www.imdb.com/title/tt0057012/,Movie,8.3,95,1964,"Comedy, War",542640,1964-01-29,"Stanley Kubrick",8,2013-07-02
80,tt0050825,2013-07-05,2013-07-05,,"Paths of Glory","Paths of Glory",https://www.imdb.com/title/tt0050825/,Movie,8.4,88,1957,"Drama, War",229734,1957-12-25,"Stanley Kubrick",8,2013-07-05
81,tt0093058,2013-07-05,2013-07-05,,"Full Metal Jacket","Full Metal Jacket",https://www.imdb.com/title/tt0093058/,Movie,8.2,116,1987,"Drama, War",831728,1987-07-10,"Stanley Kubrick",8,2013-07-05
82,tt1453405,2013-07-08,2013-07-08,,"Monsters University","Monsters University",https://www.imdb.com/title/tt1453405/,Movie,7.2,104,2013,"Animation, Adventure, Comedy, Family, Fantasy",413803,2013-06-21,"Dan Scanlon",7,2013-07-05
83,tt0120663,2013-07-08,2013-07-08,,"Eyes Wide Shut","Eyes Wide Shut",https://www.imdb.com/title/tt0120663/,Movie,7.5,159,1999,"Drama, Mystery, Thriller",406681,1999-07-16,"Stanley Kubrick",8,2013-07-08
84,tt2028530,2013-07-08,2013-07-08,,"Paradise Lost 3: Purgatory","Paradise Lost 3: Purgatory",https://www.imdb.com/title/tt2028530/,Movie,8.0,121,2011,"Documentary, Crime",11345,2012-10-13,"Joe Berlinger, Bruce Sinofsky",6,2013-07-08
85,tt0770828,2013-07-10,2013-07-10,,"Man of Steel","Man of Steel",https://www.imdb.com/title/tt0770828/,Movie,7.1,143,2013,"Action, Adventure, Sci-Fi",851926,2013-06-14,"Zack Snyder",6,2013-07-10
86,tt1690953,2013-07-15,2013-07-15,,"Despicable Me 2","Despicable Me 2",https://www.imdb.com/title/tt1690953/,Movie,7.3,98,2013,"Animation, Adventure, Comedy, Crime, Family, Sci-Fi",449066,2013-07-03,"Pierre Coffin, Chris Renaud",7,2013-07-14
87,tt0259182,2013-07-15,2013-07-15,,"The American Nightmare","The American Nightmare",https://www.imdb.com/title/tt0259182/,Movie,7.2,73,2000,"Documentary, Horror",2022,2003-07-20,"Adam Simon",7,2013-07-14
88,tt0088172,2013-07-15,2013-07-15,,"Starman","Starman",https://www.imdb.com/title/tt0088172/,Movie,7.0,115,1984,"Romance, Sci-Fi",55659,1984-12-14,"John Carpenter",7,2013-07-14
89,tt0074156,2013-07-15,2013-07-15,,"Assault on Precinct 13","Assault on Precinct 13",https://www.imdb.com/title/tt0074156/,Movie,7.3,91,1976,"Action, Crime, Thriller",59240,1976-11-05,"John Carpenter",7,2013-07-14
90,tt0303353,2013-07-15,2013-07-15,,"The Kid Stays in the Picture","The Kid Stays in the Picture",https://www.imdb.com/title/tt0303353/,Movie,7.3,93,2002,"Documentary, Biography",8224,2002-08-16,"Nanette Burstein, Brett Morgen",8,2013-07-14
91,tt0077651,2013-07-17,2013-07-17,,"Halloween","Halloween",https://www.imdb.com/title/tt0077651/,Movie,7.7,91,1978,"Horror, Thriller",327290,1978-10-27,"John Carpenter",8,2019-01-20
92,tt0480669,2013-07-23,2013-07-23,,"Timecrimes","Los cronocrímenes",https://www.imdb.com/title/tt0480669/,Movie,7.1,92,2007,"Horror, Mystery, Sci-Fi, Thriller",72998,2008-06-27,"Nacho Vigalondo",6,2013-07-19
93,tt1412386,2013-07-23,2013-07-23,,"The Best Exotic Marigold Hotel","The Best Exotic Marigold Hotel",https://www.imdb.com/title/tt1412386/,Movie,7.2,124,2011,"Comedy, Drama, Romance",102572,2012-05-25,"John Madden",6,2013-07-23
94,tt0103888,2013-07-23,2013-07-23,,"Brother's Keeper","Brother's Keeper",https://www.imdb.com/title/tt0103888/,Movie,7.5,104,1992,"Documentary, Crime, Mystery",4374,1992-09-09,"Joe Berlinger, Bruce Sinofsky",8,2013-07-22
95,tt0085333,2013-07-24,2013-07-24,,"Christine","Christine",https://www.imdb.com/title/tt0085333/,Movie,6.8,110,1983,"Horror, Thriller",98661,1983-12-09,"John Carpenter",8,2025-08-11
96,tt0095709,2013-07-25,2013-07-25,,"The Navigator: A Medieval Odyssey","The Navigator: A Medieval Odyssey",https://www.imdb.com/title/tt0095709/,Movie,6.6,92,1988,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",4183,1988-12-15,"Vincent Ward",8,2013-07-24
97,tt1692486,2013-07-29,2013-07-29,,"Carnage","Carnage",https://www.imdb.com/title/tt1692486/,Movie,7.1,80,2011,"Comedy, Drama",136664,2011-11-18,"Roman Polanski",7,2013-07-27
98,tt0104504,2013-07-29,2013-07-29,,"Incident at Oglala","Incident at Oglala",https://www.imdb.com/title/tt0104504/,Movie,7.5,89,1992,"Documentary, History",1325,1992-06-26,"Michael Apted",7,2013-07-28
99,tt0337692,2013-07-31,2013-07-31,,"On the Road","On the Road",https://www.imdb.com/title/tt0337692/,Movie,6.0,124,2012,"Adventure, Drama, Romance",44313,2012-05-23,"Walter Salles",7,2013-07-31
100,tt1045658,2013-08-02,2013-08-02,,"Silver Linings Playbook","Silver Linings Playbook",https://www.imdb.com/title/tt1045658/,Movie,7.7,122,2012,"Comedy, Drama, Romance",763669,2012-12-25,"David O. Russell",7,2013-08-01
101,tt1614989,2013-08-06,2013-08-06,,"Headhunters","Hodejegerne",https://www.imdb.com/title/tt1614989/,Movie,7.5,100,2011,"Action, Crime, Thriller",109978,2011-08-26,"Morten Tyldum",7,2013-08-03
